n,forma_recursiva_time_us,forma_matematica_time_us
0,0.6124999345047399,0.36999990697950125
1,0.455000190413557,0.25750014174263924
2,1.1449999874457717,0.24250002752523867
3,1.7124999430961907,0.22999993234407157
4,3.045000266865827,0.24000000848900527
5,5.20249996043276,0.2925000444520265
6,9.789999967324547,0.28750000637955964
7,14.132499927654862,0.3125001967418939
8,23.19999985047616,0.27749993023462594
9,41.872500150930136,0.30750015866942704
10,63.36999977065715,0.3050001396331936
11,104.26749977341387,0.335000004270114
12,172.04249998030718,0.30750015866942704
13,283.1149999110494,0.3324999852338806
14,275.7024998572888,0.325000291923061
15,491.7624999507097,0.3625002136686817
16,759.2049998493167,0.30999981390777975
17,1419.082500069635,0.36999990697950125
18,1578.3725000801496,0.3249999281251803
19,2638.187499906053,0.3850000211969018
20,4151.617499883287,0.325000291923061
21,7350.705000135349,0.3850000211969018
22,10046.342500208993,0.352500137523748
23,17353.52249997959,0.4125002305954695
24,25638.55499975034,0.325000291923061
25,44152.199999734876,0.3825000021606684
26,65200.97749998968,0.35000011848751456
27,111041.29749983258,0.40000013541430235
28,173595.31250003783,0.3474997356534004
29,284488.7674997153,0.4025001544505358
